,total_sqft,bath,balcony,price,site_location,bhk
1932,849.0,2.0,1.0,25.4,Bholakpur,2
1933,1040.0,2.0,2.0,50.0,Bholakpur,2
1934,1178.0,2.0,2.0,40.43,Bholakpur,2
1935,1939.0,3.0,0.0,98.0,Bholakpur,3
1936,850.0,2.0,1.0,42.0,Bholakpur,2
1937,1090.0,2.0,1.0,54.0,Bholakpur,2
1938,2384.0,4.0,2.0,165.0,Bholakpur,3
1940,1250.0,2.0,3.0,58.0,Bholakpur,2
1941,1190.0,2.0,1.0,68.0,Bholakpur,2
1942,820.0,2.0,1.0,45.0,Bholakpur,2
1943,1500.0,2.0,2.0,130.0,Bholakpur,2
1944,1555.0,3.0,3.0,82.0,Bholakpur,3
1945,800.0,1.0,1.0,30.0,Bholakpur,2
1946,800.0,2.0,1.0,25.0,Bholakpur,2
1948,950.0,2.0,1.0,25.65,Bholakpur,2
1950,1050.0,2.0,2.0,47.0,Bholakpur,2
1951,2400.0,3.0,3.0,140.0,Bholakpur,4
1952,2300.0,7.0,0.0,160.0,Bholakpur,6
1953,1421.0,2.0,1.0,90.0,Bholakpur,2
1954,900.0,1.0,1.0,25.0,Bholakpur,2
1955,1255.0,2.0,2.0,53.5,Bholakpur,2
1956,1050.0,2.0,2.0,50.0,Bholakpur,2
1957,1199.0,2.0,1.0,85.0,Bholakpur,2
1958,650.0,1.0,1.0,20.0,Bholakpur,2
1959,1200.0,4.0,0.0,83.0,Bholakpur,4
1960,1100.0,2.0,2.0,75.0,Bholakpur,3
1961,1221.0,3.0,3.0,75.0,Bholakpur,3
1962,1056.0,2.0,2.0,55.0,Bholakpur,2
1963,1570.0,3.0,3.0,88.0,Bholakpur,3
1965,1140.0,2.0,2.0,49.0,Bholakpur,2
1966,1450.0,3.0,2.0,75.0,Bholakpur,3
1967,2320.0,2.0,0.0,160.0,Bholakpur,3
1969,1140.0,2.0,2.0,62.0,Bholakpur,2
1970,1195.0,2.0,1.0,61.36,Bholakpur,2
1972,1200.0,2.0,2.0,60.0,Bholakpur,2
1973,1569.0,3.0,2.0,118.0,Bholakpur,3
1974,2500.0,4.0,0.0,140.0,Bholakpur,3
1975,940.0,2.0,1.0,69.57,Bholakpur,2
1976,1300.0,3.0,2.0,77.99,Bholakpur,3
1977,1847.0,3.0,3.0,92.0,Bholakpur,3
1978,1520.0,3.0,3.0,85.0,Bholakpur,3
1979,1200.0,2.0,2.0,46.0,Bholakpur,2
1980,1260.0,2.0,1.0,69.9,Bholakpur,2
1981,1095.0,2.0,2.0,55.0,Bholakpur,2
1982,900.0,2.0,0.0,55.0,Bholakpur,2
1984,1460.0,2.0,1.0,80.3,Bholakpur,2
1985,3600.0,8.0,2.0,165.0,Bholakpur,9
1986,1386.0,3.0,2.0,93.0,Bholakpur,4
1987,1200.0,3.0,2.0,110.0,Bholakpur,3
1988,1025.0,2.0,1.0,42.0,Bholakpur,2
1989,1160.0,2.0,2.0,40.6,Bholakpur,2
1991,1110.0,2.0,2.0,46.5,Bholakpur,2
1992,1615.0,3.0,0.0,96.9,Bholakpur,3
1993,2500.0,3.0,3.0,138.0,Bholakpur,3
1994,2790.0,4.0,3.0,198.0,Bholakpur,4
1995,2990.0,4.0,1.0,225.0,Bholakpur,4
1996,1432.0,3.0,2.0,79.0,Bholakpur,3
1997,1371.0,2.0,1.0,86.0,Bholakpur,2
1998,1157.0,2.0,1.0,73.0,Bholakpur,2
1999,1140.0,2.0,2.0,46.0,Bholakpur,2
2000,1015.0,2.0,1.0,35.0,Bholakpur,2
2001,4400.0,6.0,3.0,250.0,Bowenpally,6
2002,1500.0,3.0,2.0,100.0,Bowenpally,3
2003,1868.0,3.0,2.0,131.0,Bowenpally,3
2004,1075.0,2.0,2.0,60.0,Bowenpally,2
2005,1020.0,2.0,2.0,63.0,Bowenpally,2
2006,1780.0,4.0,3.0,175.0,Bowenpally,4
2008,1341.0,2.0,1.0,97.0,Bowenpally,2
2010,1047.0,2.0,1.0,82.0,Bowenpally,2
2012,1200.0,3.0,1.0,68.4,Bowenpally,3
2013,1610.0,3.0,1.0,90.0,Bowenpally,3
2014,1700.0,2.0,2.0,150.0,Bowenpally,2
2015,1100.0,2.0,2.0,37.1,Bowenpally,2
2016,2200.0,4.0,3.0,235.0,Bowenpally,4
2017,1296.0,2.0,1.0,75.0,Bowenpally,2
2018,1200.0,2.0,0.0,67.0,Bowenpally,2
2019,2025.0,4.0,3.0,109.0,Bowenpally,4
2020,1161.0,2.0,1.0,55.15,Bowenpally,2
2022,1233.0,2.0,2.0,77.65,Bowenpally,2
2023,1060.0,2.0,2.0,55.0,Bowenpally,2
2025,1065.0,2.0,2.0,50.0,Bowenpally,2
2026,1754.0,3.0,2.0,124.0,Bowenpally,3
2027,1150.0,2.0,1.0,54.0,Bowenpally,2
2028,1420.0,2.0,1.0,99.39,Bowenpally,2
2029,1105.0,2.0,2.0,49.73,Bowenpally,2
2030,794.0,1.0,1.0,60.0,Bowenpally,1
2032,1370.0,2.0,2.0,75.0,Bowenpally,3
2034,1110.0,2.0,1.0,40.0,Bowenpally,2
2035,1500.0,3.0,2.0,149.0,Bowenpally,3
2036,1075.0,2.0,1.0,60.0,Bowenpally,2
2037,1200.0,2.0,2.0,58.0,Bowenpally,2
2038,1115.0,2.0,1.0,40.0,Bowenpally,2
2039,1100.0,2.0,2.0,49.0,Bowenpally,2
2040,600.0,3.0,2.0,85.0,Bowenpally,2
2041,645.0,1.0,1.0,16.45,Bowenpally,1
2042,1143.0,2.0,1.0,55.0,Bowenpally,2
2043,1922.0,3.0,3.0,106.0,Bowenpally,3
2044,1295.0,2.0,2.0,95.0,Bowenpally,2
2045,940.0,2.0,2.0,49.0,Bowenpally,2
2046,938.0,2.0,0.0,35.0,Bowenpally,2
2049,1200.0,3.0,0.0,110.0,Bowenpally,4
2050,1128.0,2.0,1.0,65.7,Bowenpally,2
2051,2000.0,3.0,1.0,145.0,Bowenpally,3
2052,1277.0,2.0,2.0,59.0,Bowenpally,2
2054,2400.0,5.0,3.0,285.0,Bowenpally,5
2055,929.0,2.0,1.0,56.0,Bowenpally,2
2056,1198.0,2.0,1.0,54.0,Bowenpally,2
2057,1012.0,2.0,1.0,64.0,Bowenpally,2
2058,937.0,2.0,1.0,30.0,Bowenpally,2
2060,990.0,2.0,3.0,35.0,Bowenpally,2
2061,1200.0,2.0,1.0,100.0,Bowenpally,3
2063,1457.0,3.0,3.0,85.0,Bowenpally,3
2064,1100.0,2.0,1.0,68.0,Bowenpally,2
2066,1250.0,2.0,2.0,47.0,Bowenpally,2
2067,870.0,2.0,2.0,38.0,Bowenpally,2
2068,2600.0,3.0,2.0,199.0,Bowenpally,3
2069,1000.0,2.0,2.0,40.0,Bowenpally,2
2070,1194.0,2.0,2.0,47.0,Bowenpally,2
2071,1183.0,2.0,1.0,77.25,Bowenpally,2
2072,3293.0,5.0,2.0,425.0,Bowenpally,4
2073,900.0,2.0,0.0,128.0,Bowenpally,2
2075,1161.0,2.0,3.0,36.69,Bowenpally,2
2076,1000.0,2.0,1.0,55.0,Bowenpally,2
2077,1364.0,2.0,1.0,64.79,Bowenpally,2
2078,770.0,1.0,1.0,35.0,Bowenpally,2
2082,1057.0,2.0,2.0,30.0,Bowenpally,2
2083,1825.0,3.0,2.0,145.0,Bowenpally,3
2084,1027.0,2.0,2.0,44.0,Bowenpally,2
2085,991.0,2.0,0.0,64.0,Bowenpally,2
2086,1738.0,2.0,1.0,57.35,Bowenpally,2
2087,1180.0,2.0,2.0,72.0,Bowenpally,2
2088,1187.0,2.0,1.0,38.0,Bowenpally,2
2089,1450.0,2.0,2.0,90.0,Bowenpally,2
2090,2040.0,3.0,2.0,114.0,Bowenpally,3
2091,1179.0,2.0,1.0,51.0,Bowenpally,2
2092,1322.0,2.0,3.0,70.0,Bowenpally,2
2093,1170.0,2.0,2.0,53.11,Bowenpally,2
2094,1070.0,2.0,1.0,55.0,Bowenpally,2
2095,1720.0,3.0,2.0,224.0,Bowenpally,3
2096,760.0,2.0,2.0,38.5,Bowenpally,2
2098,1155.0,2.0,2.0,39.0,Bowenpally,2
2100,1100.0,2.0,1.0,62.0,Bowenpally,2
2101,1074.0,2.0,1.0,42.8,Bowenpally,2
2103,1116.0,2.0,3.0,51.91,Bowenpally,2
2104,1197.0,2.0,1.0,76.0,Bowenpally,2
2107,1085.0,2.0,2.0,34.2,Bowenpally,2
2110,950.0,2.0,1.0,60.0,Bowenpally,2
2111,1260.0,2.0,1.0,100.0,Bowenpally,2
2113,1173.0,2.0,1.0,78.2,Bowenpally,2
2115,1220.0,2.0,1.0,57.0,Chandanagar ,2
2116,4200.0,4.0,2.0,420.0,Chandanagar ,4
2117,3045.0,3.0,2.0,170.0,Chandanagar ,3
2118,2845.0,5.0,1.0,140.0,Chandanagar ,5
2119,750.0,1.0,2.0,40.0,Chandanagar ,1
2120,2330.0,3.0,2.0,162.0,Chandanagar ,3
2121,1000.0,2.0,2.0,45.0,Chandanagar ,2
2122,1019.0,2.0,2.0,49.86,Chandanagar ,2
2123,1467.0,2.0,1.0,55.0,Chandanagar ,2
2125,1078.0,2.0,3.0,65.0,Chandanagar ,2
2126,710.0,2.0,2.0,16.0,Chandanagar ,2
2127,1145.0,2.0,3.0,58.4,Chandanagar ,2
2128,1525.0,2.0,3.0,122.0,Chandanagar ,3
2129,1063.0,2.0,1.0,31.89,Chandanagar ,2
2131,1870.0,3.0,3.0,185.0,Chandanagar ,3
2132,850.0,2.0,2.0,37.93,Chandanagar ,2
2133,1840.0,3.0,2.0,155.0,Chandanagar ,3
2134,1183.0,2.0,1.0,58.56,Chandanagar ,2
2135,1200.0,2.0,0.0,60.0,Chandanagar ,2
2138,823.0,2.0,1.0,50.63,Chandanagar ,2
2139,1230.0,2.0,1.0,85.0,Chandanagar ,2
2140,1128.0,2.0,1.0,65.35,Chandanagar ,2
2141,1527.0,3.0,2.0,115.0,Chandanagar ,3
2142,5600.0,5.0,3.0,515.0,Chandanagar ,5
2143,1200.0,2.0,1.0,46.13,Chandanagar ,2
2144,1745.0,3.0,2.0,110.0,Chandanagar ,3
2145,1286.0,2.0,2.0,57.0,Chandanagar ,2
2146,1750.0,3.0,3.0,149.0,Chandanagar ,3
2148,1392.0,2.0,1.0,130.0,Chandanagar ,2
2149,1180.0,3.0,1.0,55.0,Chandanagar ,3
2150,1645.0,3.0,2.0,117.0,Chandanagar ,3
2151,1020.0,2.0,2.0,40.79,Chandanagar ,2
2152,1255.0,2.0,2.0,69.0,Chandanagar ,2
2153,1000.0,2.0,2.0,30.0,Chandanagar ,2
2154,896.0,2.0,1.0,30.13,Chandanagar ,2
2156,1095.0,2.0,2.0,38.52,Chandanagar ,2
2157,1900.0,3.0,2.0,205.0,Chandanagar ,3
2158,814.0,2.0,1.0,55.0,Chandanagar ,2
2159,1749.0,3.0,2.0,112.0,Chandanagar ,3
2160,1730.0,3.0,3.0,110.0,Chandanagar ,3
2161,1269.0,2.0,1.0,73.0,Chandanagar ,3
2162,1205.0,2.0,2.0,62.9,Chandanagar ,2
2163,797.0,2.0,1.0,32.0,Chandanagar ,2
2165,1532.0,2.0,2.0,62.0,Chandanagar ,2
2166,1537.0,3.0,2.0,110.0,Chandanagar ,3
2167,1105.0,2.0,1.0,40.0,Chandanagar ,2
2168,1400.0,2.0,2.0,60.0,Chandanagar ,2
2169,1105.0,2.0,2.0,39.99,Chandanagar ,2
2170,900.0,1.0,1.0,44.0,Chandanagar ,2
2172,3170.0,5.0,2.0,230.0,Chandanagar ,4
2173,1240.0,2.0,3.0,65.0,Chandanagar ,2
2174,1480.0,3.0,1.0,75.48,Chandanagar ,3
2175,1115.0,2.0,2.0,50.0,Chandanagar ,2
2176,1080.0,2.0,1.0,52.0,Chandanagar ,2
2177,2365.0,4.0,2.0,175.0,Chandanagar ,3
2178,1599.0,3.0,2.0,80.0,Chandanagar ,3
2179,1157.0,2.0,1.0,53.99,Chandanagar ,3
2180,1447.0,2.0,1.0,75.97,Chandanagar ,2
2181,1200.0,2.0,1.0,58.17,Chandanagar ,3
2182,925.0,2.0,2.0,70.0,Chandanagar ,2
2184,1200.0,3.0,1.0,67.77,Chandanagar ,3
2185,760.0,1.0,2.0,50.0,Chandanagar ,1
2186,1703.0,3.0,2.0,130.0,Chandanagar ,3
2187,1115.0,2.0,1.0,55.0,Chandanagar ,2
2189,2072.0,4.0,2.0,153.0,Chandanagar ,3
2191,1785.0,3.0,2.0,130.0,Chandanagar ,3
2192,1532.0,2.0,1.0,65.0,Chandanagar ,2
2194,1240.0,2.0,2.0,70.0,Chandanagar ,2
2195,1165.0,2.0,1.0,33.64,Chandanagar ,2
2196,1067.0,2.0,3.0,33.99,Chandanagar ,2
2197,1797.0,4.0,1.0,95.0,Chandanagar ,3
2198,1200.0,3.0,1.0,56.72,Chandanagar ,3
2199,2900.0,4.0,3.0,225.0,Chandanagar ,4
2200,711.0,1.0,0.0,42.65,Chandanagar ,1
2201,1100.0,2.0,0.0,32.0,Chandanagar ,2
2202,2400.0,3.0,1.0,250.0,Chandanagar ,3
2203,1210.0,2.0,0.0,75.0,Chandanagar ,2
2204,1340.0,2.0,1.0,71.0,Chandanagar ,2
2205,1030.0,2.0,2.0,77.25,Chandanagar ,3
2207,1025.0,2.0,1.0,29.61,Chandanagar ,2
2208,660.0,1.0,1.0,16.5,Chandanagar ,2
2209,1300.0,3.0,1.0,69.0,Chandanagar ,3
2210,1800.0,3.0,3.0,192.0,Chandanagar ,3
2211,1110.0,2.0,1.0,43.0,Chandanagar ,2
2212,1586.0,3.0,1.0,125.0,Chandanagar ,3
2213,992.0,2.0,2.0,24.8,Chandanagar ,2
2214,1120.0,2.0,0.0,60.0,Chandanagar ,2
2215,3381.0,6.0,3.0,225.0,Chandanagar ,6
2216,1345.0,2.0,2.0,106.0,Chandanagar ,2
2217,1980.0,4.0,1.0,180.0,Chandanagar ,3
2218,891.0,2.0,1.0,24.95,Chandanagar ,2
2219,1026.0,2.0,2.0,60.8,Chandanagar ,2
2220,1101.0,2.0,2.0,37.0,Chandanagar ,2
2221,2999.97,6.0,0.0,110.0,Chandanagar ,6
2222,1168.0,2.0,1.0,66.0,Chandanagar ,2
2223,1950.0,3.0,2.0,131.0,Chandanagar ,3
2224,1660.0,2.0,2.0,116.0,Chandanagar ,3
2225,2400.0,3.0,2.0,185.0,Chandanagar ,3
2226,1375.0,2.0,1.0,45.0,Chandanagar ,2
2227,1196.0,2.0,2.0,57.95,Chandanagar ,2
2228,1153.0,2.0,2.0,56.5,Chandanagar ,2
2229,950.0,2.0,1.0,25.0,Chandanagar ,2
2230,1876.0,3.0,3.0,160.0,Chandanagar ,3
2231,520.0,1.0,1.0,15.0,Chandanagar ,1
2232,2000.0,3.0,1.0,175.0,Chandrayanagutta,3
2233,1762.0,3.0,1.0,125.0,Chandrayanagutta,3
2234,1346.0,2.0,1.0,74.03,Chandrayanagutta,2
2235,1180.0,2.0,3.0,80.0,Chandrayanagutta,2
2236,805.0,2.0,2.0,35.0,Chandrayanagutta,2
2237,1128.0,2.0,1.0,68.75,Chandrayanagutta,2
2238,1935.0,4.0,2.0,130.0,Chandrayanagutta,3
2239,950.0,1.0,1.0,40.0,Chandrayanagutta,1
2240,1210.0,2.0,1.0,72.0,Chandrayanagutta,2
2241,1093.0,2.0,2.0,65.0,Chandrayanagutta,2
2242,1254.0,2.0,1.0,53.0,Chandrayanagutta,2
2243,1250.0,2.0,1.0,80.0,Chandrayanagutta,3
2244,1891.0,3.0,1.0,139.0,Chandrayanagutta,3
2245,950.0,2.0,1.0,50.79,Chandrayanagutta,2
2246,2254.0,3.0,2.0,170.0,Chandrayanagutta,3
2248,1600.0,2.0,2.0,110.0,Chandrayanagutta,2
2249,880.0,2.0,1.0,35.0,Chandrayanagutta,2
2250,1452.19,2.0,1.0,100.0,Chandrayanagutta,2
2251,2400.0,5.0,2.0,235.0,Chandrayanagutta,5
2252,1260.0,2.0,1.0,60.0,Chandrayanagutta,2
2253,1750.0,3.0,1.0,130.0,Chandrayanagutta,3
2254,1223.0,2.0,1.0,60.0,Chandrayanagutta,2
2255,925.0,2.0,2.0,63.0,Chandrayanagutta,2
2257,883.0,2.0,1.0,39.0,Chandrayanagutta,2
2259,1050.0,2.0,2.0,72.0,Chandrayanagutta,2
2260,1090.0,2.0,1.0,36.0,Chandrayanagutta,2
2261,1141.0,2.0,1.0,45.9,Chandrayanagutta,2
2262,923.0,2.0,1.0,50.0,Chandrayanagutta,2
2263,1290.0,2.0,3.0,80.0,Chandrayanagutta,2
2264,835.0,2.0,0.0,37.0,Chandrayanagutta,2
2265,1140.0,2.0,2.0,39.9,Chandrayanagutta,2
2266,1575.0,3.0,2.0,90.0,Chandrayanagutta,3
2268,2100.0,3.0,2.0,140.0,Chandrayanagutta,3
2269,1532.0,3.0,2.0,98.13,Chandrayanagutta,3
2272,1123.0,2.0,2.0,64.0,Chandrayanagutta,2
2273,1230.0,4.0,2.0,80.0,Chandrayanagutta,4
2274,1330.0,2.0,1.0,93.0,Chandrayanagutta,2
2276,3035.0,5.0,3.0,220.0,Chandrayanagutta,3
2277,1140.0,2.0,1.0,42.0,Chandrayanagutta,2
2278,1100.0,2.0,3.0,93.0,Chandrayanagutta,2
2279,1965.0,4.0,2.0,132.0,Chandrayanagutta,3
2280,1703.0,3.0,2.0,125.0,Chandrayanagutta,3
2281,967.0,2.0,2.0,41.1,Chandrayanagutta,2
2282,900.0,2.0,3.0,35.0,Chandrayanagutta,2
2283,1140.0,2.0,1.0,60.0,Chandrayanagutta,2
2284,1970.0,3.0,2.0,160.0,Chandrayanagutta,3
2285,1494.0,2.0,2.0,94.55,Chandrayanagutta,3
2286,1542.14,3.0,3.0,120.0,Chandrayanagutta,3
2287,1000.0,2.0,1.0,62.0,Chandrayanagutta,2
2288,1000.0,2.0,1.0,45.0,Chandrayanagutta,2
2289,1090.0,2.0,2.0,43.5,Chandrayanagutta,2
2290,1350.0,3.0,1.0,71.55,Chandrayanagutta,3
2292,1175.0,2.0,2.0,50.0,Chandrayanagutta,2
2293,1056.0,2.0,1.0,65.0,Chandrayanagutta,2
2294,900.0,2.0,3.0,45.0,Chandrayanagutta,2
2300,1205.0,2.0,2.0,58.0,Chandrayanagutta,2
2301,583.0,1.0,0.0,28.275,Chandrayanagutta,1
2302,2110.0,4.0,3.0,120.0,Chandrayanagutta,3
2303,630.0,1.0,1.0,40.5,Chandrayanagutta,1
2304,1000.0,2.0,1.0,50.0,Chandrayanagutta,2
2305,1194.0,2.0,2.0,45.0,Chandrayanagutta,2
2306,1130.0,2.0,2.0,85.0,Chandrayanagutta,2
2307,1125.0,2.0,1.0,47.0,Chandrayanagutta,2
2308,1000.0,3.0,1.0,90.0,Chandrayanagutta,3
2310,1314.0,2.0,1.0,84.0,Chandrayanagutta,2
2311,1225.0,2.0,1.0,67.48,Chandrayanagutta,2
2313,830.0,2.0,1.0,36.28,Chandrayanagutta,2
2314,2400.0,3.0,3.0,196.0,Chandrayanagutta,3
2315,1339.0,2.0,2.0,63.0,Chandrayanagutta,2
2317,1376.0,2.0,1.0,124.0,Chandrayanagutta,2
2318,950.0,2.0,3.0,57.0,Chandrayanagutta,2
2319,980.0,2.0,2.0,42.0,Chandrayanagutta,2
2320,842.0,2.0,2.0,30.0,Chandrayanagutta,2
2321,1275.0,2.0,1.0,76.0,Chandrayanagutta,2
2322,3335.0,4.0,3.0,300.0,Chandrayanagutta,4
2323,1200.0,2.0,3.0,110.0,Chandrayanagutta,3
2324,1150.0,2.0,2.0,42.0,Chandrayanagutta,2
2325,1108.0,2.0,0.0,66.46,Chandrayanagutta,2
2326,1108.0,2.0,1.0,87.48,Chandrayanagutta,2
2327,1160.0,2.0,2.0,36.54,Chandrayanagutta,2
2328,1231.0,2.0,3.0,66.0,Chandrayanagutta,2
2329,1290.0,2.0,2.0,71.95,Chandrayanagutta,2
2330,1200.0,2.0,0.0,66.0,Chandrayanagutta,3
2331,1245.0,2.0,2.0,58.0,Chandrayanagutta,2
2332,1025.0,2.0,1.0,54.0,Chandrayanagutta,2
2333,1315.0,2.0,2.0,69.5,Chandrayanagutta,2
2335,1639.0,3.0,2.0,107.0,Chandrayanagutta,3
2336,1141.0,2.0,1.0,60.0,Chandrayanagutta,2
2337,400.0,1.0,0.0,14.0,Chandulal Bowli,1
2338,1380.0,2.0,1.0,60.0,Chandulal Bowli,2
2339,595.0,1.0,1.0,33.32,Chandulal Bowli,1
2343,1020.0,2.0,1.0,45.9,Chandulal Bowli,2
2344,1800.0,3.0,3.0,90.0,Chandulal Bowli,3
2345,2400.0,4.0,3.0,200.0,Chandulal Bowli,4
2347,2500.0,3.0,2.0,135.0,Chandulal Bowli,3
2349,1600.0,2.0,0.0,80.0,Chandulal Bowli,3
2350,2800.0,2.0,0.0,200.0,Chandulal Bowli,3
2353,500.0,1.0,0.0,20.0,Chandulal Bowli,1
2355,1775.0,3.0,3.0,110.0,Chandulal Bowli,3
2357,1760.0,3.0,2.0,145.0,Chandulal Bowli,3
2358,1448.0,2.0,2.0,68.0,Chandulal Bowli,2
2359,1340.0,2.0,2.0,61.0,Chandulal Bowli,2
2360,1850.0,4.0,3.0,139.0,Chandulal Bowli,3
2361,2200.0,4.0,2.0,195.0,Chandulal Bowli,4
2362,812.0,1.0,0.0,26.0,Chandulal Bowli,1
2364,1200.0,2.0,2.0,50.0,Chandulal Bowli,2
2365,1700.0,3.0,2.0,88.0,Chandulal Bowli,3
2367,1318.0,2.0,1.0,85.28,Chandulal Bowli,3
2368,1371.0,2.0,2.0,65.0,Chandulal Bowli,3
2372,1020.0,2.0,1.0,45.0,Chandulal Bowli,2
2373,3216.0,5.0,2.0,300.0,Chandulal Bowli,4
2374,2400.0,4.0,2.0,200.0,Chandulal Bowli,3
2375,883.0,2.0,1.0,40.95,Chandulal Bowli,2
2376,1070.0,2.0,1.0,45.5,Chandulal Bowli,2
2377,2155.0,3.0,3.0,125.0,Chandulal Bowli,4
2378,1100.0,2.0,2.0,70.0,Chandulal Bowli,2
2380,1310.0,2.0,3.0,68.0,Chandulal Bowli,3
2381,1766.0,3.0,1.0,130.0,Chandulal Bowli,3
2382,1265.0,2.0,3.0,67.0,Chandulal Bowli,2
2384,1305.0,2.0,1.0,75.0,Chandulal Bowli,2
2386,1125.0,2.0,2.0,65.0,Chandulal Bowli,2
2387,900.0,2.0,1.0,41.0,Chandulal Bowli,2
2388,1216.0,2.0,1.0,69.0,Chandulal Bowli,2
2389,4856.0,5.0,3.0,410.0,Chandulal Bowli,4
2390,1485.0,2.0,1.0,96.51,Chandulal Bowli,2
2391,1022.0,2.0,2.0,57.0,Chandulal Bowli,2
2392,1075.0,2.0,1.0,55.0,Chandulal Bowli,2
2393,1100.0,2.0,1.0,66.0,Chandulal Bowli,2
2394,1250.0,2.0,2.0,68.75,Chandulal Bowli,3
2397,1200.0,4.0,0.0,95.0,Chandulal Bowli,4
2398,525.0,1.0,1.0,26.0,Chandulal Bowli,1
2400,3600.0,9.0,3.0,240.0,Chandulal Bowli,9
2401,425.0,1.0,1.0,15.0,Chandulal Bowli,1
2402,1100.0,2.0,2.0,52.0,Chandulal Bowli,2
2403,1153.0,2.0,2.0,56.7,Chandulal Bowli,2
2405,1295.0,2.0,2.0,55.47,Chandulal Bowli,2
2406,1050.0,2.0,2.0,65.0,Chandulal Bowli,2
2408,1800.0,3.0,2.0,130.0,Chandulal Bowli,3
2409,1052.0,2.0,2.0,51.0,Chandulal Bowli,2
2410,1265.0,2.0,2.0,65.0,Chandulal Bowli,3
2413,799.0,2.0,1.0,35.0,Chandulal Bowli,2
2414,1200.0,2.0,1.0,54.0,Chandulal Bowli,2
2415,1200.0,2.0,1.0,110.0,Chandulal Bowli,2
2416,1270.0,2.0,3.0,73.0,Chandulal Bowli,2
2417,2774.0,4.0,3.0,197.0,Chandulal Bowli,4
2419,1478.0,2.0,2.0,125.0,Chandulal Bowli,2
2421,1100.0,2.0,2.0,48.0,Chandulal Bowli,2
2423,1100.0,2.0,1.0,65.0,Chandulal Bowli,2
2427,1800.0,3.0,0.0,95.0,Chandulal Bowli,3
2428,1530.0,3.0,3.0,87.0,Chandulal Bowli,4
2429,2425.0,5.0,1.0,175.0,Chandulal Bowli,4
2431,1449.0,3.0,2.0,110.0,Chandulal Bowli,3
2434,965.0,2.0,1.0,54.0,Chandulal Bowli,2
2435,1201.0,2.0,3.0,80.0,Chandulal Bowli,2
2436,1150.0,2.0,1.0,48.5,Chandulal Bowli,2
2437,1053.0,2.0,3.0,44.0,Chandulal Bowli,2
2439,1325.0,2.0,1.0,59.0,Chandulal Bowli,2
2440,1194.0,2.0,1.0,57.0,Chandulal Bowli,2
2441,1080.0,2.0,1.0,49.0,Chandulal Bowli,2
2442,1570.0,2.0,2.0,95.0,Chandulal Bowli,3
2443,2503.0,3.0,3.0,138.0,Chandulal Bowli,3
2444,1250.0,2.0,0.0,75.0,Chandulal Bowli,2
2445,1081.0,2.0,3.0,60.0,Chandulal Bowli,2
2447,1530.0,2.0,1.0,108.0,Chandulal Bowli,2
2449,1425.0,2.0,2.0,94.0,Charmahal,3
2450,1875.0,2.0,2.0,110.0,Charmahal,3
2454,1205.0,2.0,1.0,78.5,Charmahal,2
2455,1595.0,3.0,3.0,88.0,Charmahal,3
2456,884.0,2.0,2.0,36.0,Charmahal,1
2457,1115.0,2.0,2.0,56.87,Charmahal,2
2458,1900.0,3.0,1.0,135.0,Charmahal,3
2462,1000.0,2.0,2.0,53.0,Charmahal,2
2464,1239.0,2.0,1.0,82.0,Charmahal,2
2465,1739.0,3.0,1.0,105.0,Charmahal,3
2466,1728.0,3.0,2.0,95.0,Charmahal,3
2467,1600.0,5.0,2.0,140.0,Charmahal,5
2470,1012.0,2.0,1.0,75.0,Charmahal,2
2471,1665.0,2.0,3.0,125.0,Charmahal,3
2473,3262.0,4.0,2.0,260.0,Charmahal,4
2475,1653.0,3.0,2.0,120.0,Charmahal,3
2477,1965.0,3.0,3.0,120.0,Charmahal,3
2478,2138.0,3.0,2.0,110.0,Charmahal,3
2479,1350.0,2.0,1.0,89.0,Charmahal,2
2481,1583.0,3.0,3.0,115.0,Charmahal,3
2482,1925.0,3.0,3.0,110.0,Charmahal,3
2483,2100.0,4.0,1.0,180.0,Charmahal,4
2484,825.0,1.0,1.0,44.9,Charmahal,1
2485,675.0,1.0,1.0,45.0,Charmahal,1
2491,2856.0,5.0,0.0,158.5,Charmahal,4
2495,1590.0,2.0,3.0,85.0,Charmahal,3
2496,1760.0,3.0,2.0,128.0,Charmahal,3
2498,1069.0,2.0,1.0,55.0,Charmahal,2
2502,1250.0,3.0,2.0,65.0,Charmahal,3
2503,2095.0,3.0,1.0,109.0,Charmahal,4
2504,1425.0,2.0,2.0,74.31,Charmahal,3
2505,1200.0,2.0,2.0,100.0,Charmahal,3
2506,1847.0,3.0,2.0,125.0,Charmahal,3
2507,1460.0,2.0,1.0,97.0,Charmahal,3
2508,1200.0,2.0,2.0,68.0,Charmahal,2
2516,648.0,1.0,1.0,34.0,Charmahal,1
2518,1720.0,3.0,3.0,98.97,Charmahal,3
2522,1200.0,3.0,1.0,70.0,Charmahal,2
2525,3450.0,7.0,2.0,225.0,Charmahal,8
2526,1268.0,2.0,1.0,75.0,Charmahal,3
2529,1330.0,2.0,2.0,74.0,Charmahal,2
2531,1310.0,2.0,1.0,88.0,Charmahal,2
2532,1250.0,2.0,1.0,78.0,Charmahal,2
2535,1513.0,3.0,1.0,103.0,Charmahal,3
2537,1630.0,2.0,2.0,130.0,Charmahal,3
2539,1310.0,2.0,1.0,85.0,Charmahal,3
2542,985.0,2.0,1.0,62.5,Charmahal,2
2543,525.0,1.0,1.0,30.0,Charmahal,1
