area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,18-Apr,4 BHK,SNnia E,2805,4,3,154,Chevella
Super built-up  Area,Ready To Move,3 BHK,Shiew T,1200,2,2,42,Chevella
Plot  Area,Ready To Move,4 Bedroom,Theanmp,2325,4,1,120,Chevella
Built-up  Area,Ready To Move,4 Bedroom,RMaanSa,4346,5,,500,Chevella
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1200,2,2,43.2,Chevella
Built-up  Area,Ready To Move,3 BHK,,2100,3,2,73,Chevella
Plot  Area,Ready To Move,4 Bedroom,,817,2,1,120,Chevella
Super built-up  Area,19-Apr,2 BHK,Brama P,980,2,1,45.47,Chevella
Super built-up  Area,18-Oct,3 BHK,Puachal,1482,2,1,87,Chevella
Super built-up  Area,Ready To Move,2 BHK,AnaveEn,1150,2,3,42,Chevella
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1139,2,2,62,Chevella
Super built-up  Area,19-Mar,2 BHK,Sosisic,1430,2,1,97.52,Chevella
Super built-up  Area,Ready To Move,3 BHK,Foity S,1350,3,1,55.5,Chevella
Plot  Area,Ready To Move,4 Bedroom,,750,4,3,110,Chevella
Super built-up  Area,Ready To Move,2 BHK,,950,2,2,45,Chevella
Built-up  Area,Ready To Move,2 BHK,,1350,2,1,67.5,Chevella
Super built-up  Area,Ready To Move,2 BHK,CSvelMa,1187,2,3,52,Chevella
Super built-up  Area,Ready To Move,3 BHK,DNeremo,2257,4,2,157,Chevella
Built-up  Area,Ready To Move,4 Bedroom,Soyleif,5000,5,2,395,Chevella
Super built-up  Area,Ready To Move,2 BHK,Maine J,977,2,2,36,Chevella
Plot  Area,Ready To Move,3 Bedroom,,1330,4,1,140,Chevella
Built-up  Area,18-Jul,2 BHK,,1199,2,2,50,Chevella
Super built-up  Area,17-Jul,3 BHK,ViensRK,1576,3,2,59.1,Chevella
Plot  Area,Ready To Move,5 Bedroom,,2800,5,2,125,Chevella
Super built-up  Area,Ready To Move,2 BHK,Iseenst,1285,2,2,55.9,Chevella
Super built-up  Area,Ready To Move,2 BHK,Adity T,1231,2,2,48,Chevella
Super built-up  Area,Ready To Move,3 BHK,Prtanha,2072,4,2,139,Chevella
Super built-up  Area,Ready To Move,1 BHK,DShtsow,794,1,2,65,Chevella
Super built-up  Area,Ready To Move,3 BHK,Saageat,1590,2,2,135,Chevella
Super built-up  Area,Ready To Move,2 BHK,Jaers S,1159,2,1,60,Chevella
Super built-up  Area,18-Feb,2 BHK,Bhmesy ,1296,2,2,72,Chevella
Super built-up  Area,Ready To Move,2 BHK,Rallaa ,1185,2,1,85,Chevella
Built-up  Area,Ready To Move,2 Bedroom,,650,2,0,59,Chevella
Built-up  Area,Ready To Move,3 BHK,,2300,3,3,290,Chevella
Super built-up  Area,Ready To Move,3 BHK,Prook M,2560,3,2,265,Chevella
Super built-up  Area,Ready To Move,3 BHK,NRowse ,1464,3,3,56,Chevella
Super built-up  Area,Ready To Move,2 BHK,Contsci,1418,2,2,78,Chevella
Plot  Area,Ready To Move,3 Bedroom,,1350,3,0,240,Chevella
Super built-up  Area,Ready To Move,2 BHK,,950,2,1,60,Chevella
Plot  Area,Ready To Move,2 Bedroom,,1000,2,0,60,Chevella
Super built-up  Area,Ready To Move,2 BHK,Baowsig,950,2,1,47,Chevella
Super built-up  Area,Ready To Move,5 BHK,,2500,5,,110,Chevella
Super built-up  Area,Ready To Move,3 BHK,Vaensia,1450,3,2,71,Chevella
Super built-up  Area,19-Dec,2 BHK,Ceezey ,1483,2,1,98,Chevella
Built-up  Area,Ready To Move,2 BHK,,830,2,1,60,Chevella
Super built-up  Area,20-Dec,2 BHK,Myple M,1070,2,2,46,Chevella
Super built-up  Area,Ready To Move,3 BHK,,1200,2,2,75,Chevella
Built-up  Area,Ready To Move,2 BHK,Palanla,1050,2,1,65,Chevella
Super built-up  Area,Ready To Move,3 BHK,PrityTr,1820,3,2,93,Chevella
Super built-up  Area,Ready To Move,2 BHK,,1250,2,1,55.55,Chevella
Plot  Area,Ready To Move,3 Bedroom,,1365,3,0,99,Chevella
Plot  Area,Ready To Move,1 Bedroom,,45,1,0,23,Chevella
Super built-up  Area,Ready To Move,2 BHK,Shissut,1200,2,2,65,Chevella
Plot  Area,Ready To Move,3 Bedroom,Daden G,1400,3,2,92,Chevella
Super built-up  Area,18-May,2 BHK,SSestth,920,2,1,37.2,Chevella
Plot  Area,Ready To Move,4 Bedroom,,1200,4,1,95,Chevella
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,75,Chevella
Super built-up  Area,18-May,2 BHK,,1240,2,3,43.94,Chevella
Super built-up  Area,Ready To Move,2 BHK,AszarAl,1492,2,2,65,Chevella
Super built-up  Area,Ready To Move,2 BHK,Goeesem,1105,2,2,90,Chevella
Plot  Area,Ready To Move,2 Bedroom,,2000,2,1,160,Chevella
Built-up  Area,Ready To Move,3 BHK,Mayne A,1260,2,2,76,Chevella
Built-up  Area,Ready To Move,3 Bedroom,,5720,3,0,350,Chevella
Plot  Area,Ready To Move,1 Bedroom,,840,1,1,150,Chevella
Super built-up  Area,18-Dec,2 BHK,Prtates,1216,2,1,75,Chevella
Plot  Area,Ready To Move,3 Bedroom,Vetanan,2400,3,1,180,Chevella
Super built-up  Area,Ready To Move,2 BHK,Niara S,800,1,1,32,Chevella
Super built-up  Area,Ready To Move,3 BHK,Pridsi ,1305,2,1,59,Chevella
Built-up  Area,18-Apr,2 BHK,,1304,2,0,111,Chevella
Built-up  Area,Ready To Move,2 BHK,Vithm R,1205,2,1,70,Chevella
Super built-up  Area,Ready To Move,3 BHK,MItatHa,1585,2,3,80,Chevella
Super built-up  Area,18-Jul,3 BHK,,1225,2,2,82,Chevella
Plot  Area,Ready To Move,4 Bedroom,,2400,4,3,600,Chevella
Plot  Area,Ready To Move,5 Bedroom,,1200,4,1,95,Chevella
Plot  Area,18-Dec,4 Bedroom,Thessrm,3565,4,3,255,Chevella
Super built-up  Area,Ready To Move,3 BHK,DSgmax ,1470,2,1,44.1,Chevella
Plot  Area,Ready To Move,5 Bedroom,,2400,3,3,80,Chevella
Super built-up  Area,Ready To Move,3 BHK,,1260,2,1,95,Chevella
Super built-up  Area,Ready To Move,3 BHK,,1477,2,2,75,Chevella
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,52.07,Chevella
Super built-up  Area,18-Dec,3 BHK,Sonue A,1865,3,1,139,Chevella
Built-up  Area,18-Aug,2 BHK,Sryalan,1020,2,1,29.45,Chevella
Super built-up  Area,Ready To Move,3 BHK,,1485,3,2,78,Chevella
Super built-up  Area,Ready To Move,2 BHK,Bhmesy ,1056,2,2,65,Chevella
Super built-up  Area,Ready To Move,2 BHK,,1150,2,1,55,Chevella
Super built-up  Area,Ready To Move,2 BHK,Sririth,950,2,2,35,Chevella
Super built-up  Area,Ready To Move,2 BHK,Brnia G,1050,2,1,77.47,Chevella
Plot  Area,Ready To Move,4 Bedroom,,2760,4,2,290,Chevella
Built-up  Area,Ready To Move,4 BHK,,3400,4,,200,Chevella
Built-up  Area,Ready To Move,1 BHK,,650,1,0,40,Chevella
Super built-up  Area,18-May,2 BHK,Prtates,1216,2,1,73,Chevella
Super built-up  Area,18-May,3 BHK,,1400,3,2,45,Chevella
Super built-up  Area,Ready To Move,2 BHK,Veiewak,1202,2,1,65,Chevella
Plot  Area,Ready To Move,4 Bedroom,PrOakSi,3940,5,3,265,Chevella
Built-up  Area,Ready To Move,2 BHK,,570,2,1,62,Chevella
Super built-up  Area,Ready To Move,3 BHK,Prlla C,1650,3,1,85,Chevella
Super built-up  Area,Ready To Move,2 BHK,Bhmesy ,1098,2,1,71,Chevella
Super built-up  Area,Ready To Move,5 BHK,,900,5,,135,Chevella
Built-up  Area,18-Jul,2 BHK,Sryalan,1090,2,1,31.48,Chevella
Super built-up  Area,Ready To Move,2 BHK,,1081,2,1,39,Chevella
Plot  Area,Ready To Move,4 Bedroom,,800,5,1,95.5,Chevella
Built-up  Area,Ready To Move,5 Bedroom,,3000,4,3,170,Chevella
Super built-up  Area,Ready To Move,2 BHK,Isncasa,980,2,1,57,Chevella
Super built-up  Area,Ready To Move,2 BHK,,1272,2,2,50,Chevella
Super built-up  Area,Ready To Move,2 BHK,Goareir,1149,2,1,130,Chevella
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,54,Chevella
Plot  Area,Ready To Move,3 Bedroom,,1200,2,0,90,Chevella
Super built-up  Area,Ready To Move,3 BHK,Prensya,1705,3,2,85,Chevella
Super built-up  Area,Ready To Move,2 BHK,Prs 2hi,976,2,1,50,Chevella
Built-up  Area,Ready To Move,3 BHK,,1250,2,1,77.13,Chevella
Super built-up  Area,Ready To Move,2 BHK,Suise S,1220,2,2,39,Chevella
Super built-up  Area,Ready To Move,2 BHK,,1150,2,1,46,Chevella
Plot  Area,Ready To Move,5 Bedroom,,1356,5,2,139,Chevella
Built-up  Area,18-Apr,2 BHK,,1216,2,2,70,Chevella
Super built-up  Area,Ready To Move,2 BHK,ShshaSa,1010,2,1,52,Chevella
Super built-up  Area,Ready To Move,4 BHK,Emine P,3633,5,1,335,Chevella
Super built-up  Area,Ready To Move,4 BHK,GonumPl,3729,4,2,384,Chevella
Super built-up  Area,Ready To Move,2 BHK,Soe 2Sa,1116,2,3,48.76,Chevella
Super built-up  Area,Ready To Move,2 BHK,,1150,2,2,47,Chevella
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1404,2,1,67.5,Chevella
Plot  Area,Ready To Move,5 Bedroom,,1200,5,1,130,Chevella
Super built-up  Area,Ready To Move,3 BHK,Jancyva,1265,2,3,55,Chevella
Plot  Area,Ready To Move,3 Bedroom,,600,4,2,70,Chevella
Carpet  Area,Ready To Move,2 BHK,Gaaran ,1100,2,,65,Chevella
Super built-up  Area,Ready To Move,3 BHK,,1404,2,1,56.15,Chevella
Super built-up  Area,Ready To Move,2 BHK,ArzzaRe,1418,2,1,62,Chevella
Plot  Area,Ready To Move,6 Bedroom,,1800,5,1,140,Chevella
Super built-up  Area,20-Dec,3 BHK,Myple M,1665,3,2,71.58,Chevella
Super built-up  Area,Ready To Move,3 BHK,PeBayle,2770,4,2,290,Moinabad
Built-up  Area,Ready To Move,4 Bedroom,,3700,4,1,225,Moinabad
Super built-up  Area,20-May,4 BHK,,2850,4,1,428,Moinabad
Super built-up  Area,20-Dec,1 BHK,PrarePa,525,1,1,26,Moinabad
Plot  Area,Ready To Move,2 Bedroom,,1200,2,1,65,Moinabad
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2,1,36,Moinabad
Carpet  Area,Ready To Move,2 BHK,,1100,2,2,98,Moinabad
Built-up  Area,Ready To Move,4 Bedroom,,1380,3,0,58,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Vaanda ,1120,2,0,65,Moinabad
Super built-up  Area,18-May,1 BHK,SNbay G,630,1,1,40,Moinabad
Built-up  Area,Ready To Move,2 BHK,Spanda ,650,2,0,42,Moinabad
Super built-up  Area,Ready To Move,2 BHK,IBityin,1161,2,2,64.08,Moinabad
Built-up  Area,Ready To Move,3 BHK,,2400,3,2,170,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Rarthne,1120,2,2,55,Moinabad
Super built-up  Area,20-Dec,2 BHK,Shmes O,935,2,1,32.72,Moinabad
Super built-up  Area,Ready To Move,2 BHK,GradeMR,1080,2,2,80,Moinabad
Built-up  Area,18-Mar,4 Bedroom,,2863,4,1,140,Moinabad
Built-up  Area,Ready To Move,2 BHK,SrEndPo,1310,2,1,50,Moinabad
Built-up  Area,Ready To Move,2 BHK,Usquaya,1000,2,2,40,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Inuseda,800,2,3,50,Moinabad
Plot  Area,Ready To Move,6 Bedroom,,930,6,1,135,Moinabad
Super built-up  Area,18-Aug,2 BHK,,1230,3,2,47,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Malowr ,1050,2,2,43,Moinabad
Super built-up  Area,18-May,2 BHK,,1050,2,1,43,Moinabad
Super built-up  Area,18-Apr,2 BHK,,1028,2,1,31.86,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Vidil D,1022,2,2,52,Moinabad
Super built-up  Area,Ready To Move,2 BHK,,950,2,1,38,Moinabad
Built-up  Area,Ready To Move,2 BHK,,1164,2,1,56,Moinabad
Super built-up  Area,Ready To Move,2 BHK,,1055,2,2,55,Moinabad
Plot  Area,Ready To Move,6 Bedroom,,810,5,2,95,Moinabad
Super built-up  Area,18-Dec,2 BHK,,674,1,1,19.9,Moinabad
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,130,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Maity W,1385,2,1,83.09,Moinabad
Super built-up  Area,Ready To Move,2 BHK,,1020,2,3,41,Moinabad
Super built-up  Area,Ready To Move,3 BHK,,1500,2,2,65,Moinabad
Super built-up  Area,Ready To Move,19 BHK,,2000,16,,490,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Abeesmi,1174,2,3,74,Moinabad
Super built-up  Area,Ready To Move,2 BHK,MCngeha,1200,2,2,53,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Lancyey,1090,2,2,43.59,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Niway G,902,2,2,49,Moinabad
Super built-up  Area,20-Jun,3 BHK,Somns T,1386,3,1,57.46,Moinabad
Super built-up  Area,Ready To Move,2 BHK,,925,2,3,38,Moinabad
Super built-up  Area,Ready To Move,3 BHK,Aconyit,1265,2,1,82,Moinabad
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,75,Moinabad
Plot  Area,18-Mar,4 Bedroom,EmardBo,7500,4,2,900,Moinabad
Super built-up  Area,Ready To Move,2 BHK,,1080,2,1,37.8,Moinabad
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1570,3,3,64.5,Moinabad
Super built-up  Area,Ready To Move,2 BHK,PuamaPa,1270,2,2,100,Moinabad
Super built-up  Area,19-Dec,1 BHK,PrensKe,615,1,1,44,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Aiitya ,1020,2,1,57,Moinabad
Plot  Area,Ready To Move,3 Bedroom,Pelle P,1500,3,2,88,Moinabad
Built-up  Area,Ready To Move,2 BHK,Asncyes,1560,2,2,145,Moinabad
Super built-up  Area,20-Aug,2 BHK,Ahciace,1067,2,1,60,Moinabad
Super built-up  Area,Ready To Move,2 BHK,SraveHi,1071,2,1,62,Moinabad
Super built-up  Area,Ready To Move,3 BHK,Saavenc,1540,2,2,70,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Ammesss,1009,2,2,56,Moinabad
Built-up  Area,Ready To Move,2 BHK,SJmesst,1253,2,1,65.8,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Rarelt ,985,2,1,55,Moinabad
Super built-up  Area,Ready To Move,3 BHK,SNity S,1465,2,1,76,Moinabad
Built-up  Area,Ready To Move,3 BHK,Rahidhi,1565,3,2,78,Moinabad
Plot  Area,Ready To Move,4 Bedroom,InllaPa,1800,4,2,180,Moinabad
Super built-up  Area,Ready To Move,3 BHK,HoAcela,1500,3,2,125,Moinabad
Super built-up  Area,18-May,2 BHK,Cee 2du,1162,2,0,65,Moinabad
Super built-up  Area,Ready To Move,2 BHK,,1265,2,1,78,Moinabad
Super built-up  Area,Ready To Move,3 BHK,Sovar S,1530,2,2,74.4,Moinabad
Built-up  Area,Ready To Move,3 BHK,Adeatlm,1850,3,3,140,Moinabad
Super built-up  Area,Ready To Move,1 BHK,MBpleca,610,1,1,39,Moinabad
Plot  Area,Ready To Move,10 Bedroom,,1200,10,,190,Moinabad
Super built-up  Area,19-Dec,3 BHK,Shitt S,1450,3,2,72.54,Moinabad
Super built-up  Area,18-Dec,4 BHK,Prtates,2830 - 2882,5,0,157.5,Moinabad
Built-up  Area,18-Dec,2 BHK,,1200,2,1,34.65,Moinabad
Super built-up  Area,18-Mar,2 BHK,,1210,2,1,80,Moinabad
Super built-up  Area,18-Aug,3 BHK,ProdsWe,1615,3,1,175,Moinabad
Plot  Area,Ready To Move,5 Bedroom,,800,4,2,98,Moinabad
Super built-up  Area,Ready To Move,3 BHK,,1400,2,1,50,Moinabad
Super built-up  Area,17-Jun,2 BHK,Mauil T,1044,2,1,60,Moinabad
Plot  Area,18-Apr,4 Bedroom,Epllan ,11000,5,3,2000,Moinabad
Super built-up  Area,18-Apr,2 BHK,Bhmesy ,1265,2,1,83,Moinabad
Super built-up  Area,20-Jan,3 BHK,She 2rk,1740,3,1,150,Moinabad
Super built-up  Area,Ready To Move,3 BHK,,2100,3,2,200,Moinabad
Plot  Area,18-Jul,3 Bedroom,V2gesre,1500,3,2,90,Moinabad
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1452,3,3,60.98,Moinabad
Super built-up  Area,Ready To Move,2 BHK,,1120,2,1,60,Moinabad
Built-up  Area,Ready To Move,3 BHK,Myace P,1540,2,2,78,Moinabad
Super built-up  Area,18-May,3 BHK,,1250,3,2,41,Moinabad
Super built-up  Area,19-Dec,3 BHK,,1033,2,2,30.47,Moinabad
Super built-up  Area,21-Dec,1 BHK,PrarePa,525,,,29.25,Moinabad
Plot  Area,18-Nov,4 Bedroom,,2400,4,1,143,Moinabad
Built-up  Area,Ready To Move,4 Bedroom,VaMarll,2750,5,1,240,Moinabad
Plot  Area,17-Aug,4 Bedroom,,1050,3,3,85,Moinabad
Built-up  Area,21-Dec,2 BHK,,700,2,1,35,Moinabad
Built-up  Area,Ready To Move,2 BHK,Prdhue ,1240,2,2,65,Moinabad
Built-up  Area,Ready To Move,6 Bedroom,,2500,6,0,81,Moinabad
Plot  Area,Ready To Move,4 Bedroom,,1920,5,2,250,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Juoryma,825,2,1,35,Moinabad
Super built-up  Area,18-May,3 BHK,Tavenew,1286,2,1,68,Moinabad
Super built-up  Area,Ready To Move,3 BHK,Tusom B,5400,3,2,400,Moinabad
Super built-up  Area,Ready To Move,3 BHK,,1550,3,1,85,Moinabad
Built-up  Area,Ready To Move,3 BHK,,1330,2,1,49,Moinabad
Plot  Area,Ready To Move,4 Bedroom,PrOakSi,2000,4,1,312,Moinabad
Super built-up  Area,Ready To Move,2 BHK,HMonymp,1495,2,2,110,Moinabad
Super built-up  Area,Ready To Move,3 BHK,Soosea ,1721,3,2,93,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Phens G,1000,2,2,35,Moinabad
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,250,Moinabad
Built-up  Area,Ready To Move,3 BHK,Pronyt ,1241,2,1,65,Moinabad
Super built-up  Area,Ready To Move,3 BHK,MadorSp,1715,3,2,95,Moinabad
Built-up  Area,Ready To Move,4 Bedroom,,2400,4,1,150,Moinabad
Built-up  Area,Ready To Move,2 BHK,MyeurGr,1200,2,1,53.5,Moinabad
Super built-up  Area,20-Dec,2 BHK,SheldGr,935,2,1,32,Moinabad
Plot  Area,Ready To Move,5 Bedroom,,1200,4,3,240,Moinabad
Super built-up  Area,Ready To Move,4 BHK,ArsiaEx,2135,3,2,149,Moinabad
Built-up  Area,Ready To Move,2 BHK,,1155,2,1,57,Moinabad
Built-up  Area,18-Dec,2 BHK,,1200,2,1,34.65,Moinabad
Built-up  Area,Ready To Move,2 BHK,Brlms P,1164,2,2,75,Moinabad
Super built-up  Area,19-Jul,2 BHK,Soazak ,1296,2,2,105,Moinabad
Built-up  Area,Ready To Move,4 BHK,Bhmesy ,1948,4,2,129,Moinabad
Super built-up  Area,18-Aug,2 BHK,S2ionrn,994,2,1,42.28,Moinabad
Super built-up  Area,Ready To Move,3 BHK,,2546,3,,170,Moinabad
Built-up  Area,Ready To Move,3 BHK,Mairer ,1060,2,2,58.3,Moinabad
Plot  Area,Ready To Move,4 Bedroom,,1350,4,3,240,Moinabad
Super built-up  Area,Ready To Move,2 BHK,,1243,2,2,46,Moinabad
Super built-up  Area,18-May,3 BHK,Sryalan,1320,2,1,38.12,Moinabad
Super built-up  Area,Ready To Move,2 BHK,HRaniIb,1473,2,1,85,Moinabad
Super built-up  Area,18-Aug,3 BHK,Vrenty ,1052 - 1322,2,0,55.195,Moinabad
Super built-up  Area,Ready To Move,3 BHK,,2200,2,1,190,Moinabad
Super built-up  Area,Ready To Move,2 BHK,Goeesem,1260,2,3,75,Moinabad
Built-up  Area,Ready To Move,3 BHK,PuandHi,1843,3,2,90,Moinabad
Plot  Area,Ready To Move,3 Bedroom,Krs A C,1600,3,1,120,Moinabad
Plot  Area,Ready To Move,4 Bedroom,,2000,3,1,180,Moinabad
Super built-up  Area,18-Apr,3 BHK,Alestrb,1762,3,3,109,Moinabad
Built-up  Area,Ready To Move,2 BHK,,1370,2,2,60,Moinabad
Super built-up  Area,Ready To Move,2 BHK,SatonLi,1220,2,2,60,Moinabad
Super built-up  Area,Ready To Move,3 BHK,,1100,2,2,45,Moinabad
Super built-up  Area,Ready To Move,3 BHK,,1340,2,2,47,Moinabad
Super built-up  Area,Ready To Move,2 BHK,,1245,2,1,125,Moinabad
Super built-up  Area,Ready To Move,2 BHK,RInceeg,1200,2,2,46,Moinabad
Built-up  Area,Ready To Move,3 BHK,,2250,3,,219,Moinabad
Super built-up  Area,Ready To Move,4 BHK,Emine P,3596,5,1,251,Moinabad
Super built-up  Area,Ready To Move,2 BHK,AeisePV,1245,2,1,60,Moinabad
Super built-up  Area,Ready To Move,2 BHK,,1100,2,2,48,Shabad
Built-up  Area,Ready To Move,3 Bedroom,Cetattu,2497,3,2,140,Shabad
Super built-up  Area,Ready To Move,3 BHK,Emstael,1595,3,2,65,Shabad
Super built-up  Area,Ready To Move,3 BHK,Puestig,1665,3,2,95,Shabad
Super built-up  Area,Ready To Move,4 BHK,,1200,4,1,175,Shabad
Super built-up  Area,Ready To Move,2 BHK,SVineun,1040,2,1,48.5,Shabad
Super built-up  Area,Ready To Move,3 BHK,,1430,2,1,65,Shabad
Super built-up  Area,Ready To Move,2 BHK,,1083,2,2,61.75,Shabad
Super built-up  Area,Ready To Move,4 BHK,Sutte C,2181,3,2,152,Shabad
Super built-up  Area,21-Jan,3 BHK,PrarePa,1100,3,2,58,Shabad
Super built-up  Area,Ready To Move,2 BHK,,1325,2,2,71.55,Shabad
Super built-up  Area,18-Dec,2 BHK,Soena A,1290,2,3,74,Shabad
Super built-up  Area,Ready To Move,2 BHK,,1480,2,2,65,Shabad
Super built-up  Area,18-Jun,3 BHK,Shalkri,1440 - 1884,,,67.98,Shabad
Super built-up  Area,21-Nov,1 RK,Bhe 2ko,510,1,1,25.25,Shabad
Plot  Area,Ready To Move,5 Bedroom,,2280,5,,200,Shabad
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1128,2,2,38.24,Shabad
Super built-up  Area,Ready To Move,3 BHK,,1650,2,1,75,Shabad
Super built-up  Area,Ready To Move,2 BHK,Ahriaup,1050,2,1,62,Shabad
Super built-up  Area,Ready To Move,2 BHK,,1185,2,2,47.39,Shabad
Super built-up  Area,18-Mar,3 BHK,,1410,2,2,45.12,Shabad
Super built-up  Area,Ready To Move,1 BHK,,581.91,2,1,25,Shabad
Plot  Area,Ready To Move,4 Bedroom,,2000,4,1,139,Shabad
Carpet  Area,Ready To Move,3 BHK,Jahidva,1005.03 - 1252.49,3,0,47.405,Shabad
Super built-up  Area,Ready To Move,2 BHK,BriumMi,1270,2,1,83,Shabad
Super built-up  Area,Ready To Move,2 BHK,PaigeMa,1018,2,0,23.45,Shabad
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,45,Shabad
Super built-up  Area,18-May,3 BHK,SNbay G,1395,2,1,62.78,Shabad
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1530,3,3,51.87,Shabad
Super built-up  Area,Ready To Move,2 BHK,,1200,2,3,42,Shabad
Plot  Area,18-Apr,3 Bedroom,,600,3,1,83,Shabad
Super built-up  Area,18-Apr,2 BHK,Prtates,1346,2,1,96.17,Shabad
Plot  Area,Ready To Move,6 Bedroom,,1222,5,3,250,Shabad
Super built-up  Area,Ready To Move,3 BHK,,2100,3,3,170,Shabad
Super built-up  Area,Ready To Move,2 BHK,,1400,2,2,65,Shabad
Plot  Area,Ready To Move,3 Bedroom,Inensba,1200,3,2,78,Shabad
Built-up  Area,Ready To Move,3 BHK,DaniaNe,1560,3,3,75,Shabad
Super built-up  Area,Ready To Move,2 BHK,Phhidx ,1300,2,2,65,Shabad
Super built-up  Area,Ready To Move,3 BHK,Pridei ,1500,3,2,70,Shabad
Plot  Area,18-Mar,3 Bedroom,,2238,3,1,140,Shabad
Super built-up  Area,Ready To Move,2 BHK,Prncyrn,1197,2,1,79,Shabad
Built-up  Area,Ready To Move,2 BHK,Mahla T,1023,2,2,42,Shabad
Built-up  Area,18-May,4 BHK,,3200,5,1,150,Shabad
Super built-up  Area,Ready To Move,3 BHK,Prityel,1180,2,1,46,Shabad
Super built-up  Area,Ready To Move,3 BHK,,1650,3,3,86.45,Shabad
Plot  Area,Ready To Move,7 Bedroom,,2400,3,3,150,Shabad
Super built-up  Area,Ready To Move,1 BHK,Tavenew,708,1,0,28.32,Shabad
Super built-up  Area,Ready To Move,3 BHK,Dhalsh ,1410,2,3,52.17,Shabad
Plot  Area,Ready To Move,2 Bedroom,,1110,2,0,65,Shabad
Built-up  Area,19-Dec,4 BHK,,2107,4,3,95,Shabad
Plot  Area,Ready To Move,5 Bedroom,,958,3,1,210,Shabad
Super built-up  Area,Ready To Move,14 BHK,,1250,15,0,125,Shabad
Built-up  Area,Ready To Move,2 BHK,,1060,2,2,35,Shabad
Super built-up  Area,Ready To Move,3 BHK,Saciatt,2266,3,2,169,Shabad
Plot  Area,Ready To Move,8 Bedroom,,1200,7,3,100,Shabad
Super built-up  Area,Ready To Move,3 BHK,Soarkig,1800,3,2,195,Shabad
Super built-up  Area,Ready To Move,2 BHK,Srmesun,1190,2,2,60,Shabad
Super built-up  Area,Ready To Move,2 BHK,Sronda ,982,2,2,55,Shabad
Plot  Area,Ready To Move,4 Bedroom,Fencyes,3401,5,,230,Shabad
Super built-up  Area,Ready To Move,2 BHK,Nihtsur,1334,2,3,42.69,Shabad
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,53,Shabad
Super built-up  Area,Ready To Move,3 BHK,Mancya ,1256,2,2,50,Shabad
Super built-up  Area,Ready To Move,2 BHK,Nillsre,1301,2,2,65,Shabad
Plot  Area,Ready To Move,8 Bedroom,,600,6,2,60,Shabad
Plot  Area,Ready To Move,6 Bedroom,,2400,6,3,400,Shabad
Super built-up  Area,Ready To Move,2 BHK,Goty  E,1073,2,2,60,Shabad
Super built-up  Area,Ready To Move,3 BHK,Pyikad ,1484,2,2,56.4,Shabad
Built-up  Area,Ready To Move,2 BHK,,1065,2,1,45,Shabad
Super built-up  Area,Ready To Move,2 BHK,Maodser,1000,2,0,48,Shabad
Super built-up  Area,Ready To Move,3 BHK,CoLeoen,1489,2,3,82,Shabad
Super built-up  Area,18-Dec,1 BHK,Prtates,905,1,1,62,Shabad
Super built-up  Area,18-Jul,4 BHK,RRnumn ,2710,6,2,142,Shabad
Super built-up  Area,Ready To Move,2 BHK,,1180,2,1,56,Shabad
Super built-up  Area,Ready To Move,2 BHK,Jahipa ,675,1,1,15,Shabad
Super built-up  Area,Ready To Move,2 BHK,Thisea ,1200,2,1,42,Shabad
Super built-up  Area,Ready To Move,2 BHK,Prlmsge,1352,3,1,93,Shabad
Built-up  Area,18-Mar,3 BHK,SaaceSa,1350,3,2,48.6,Shabad
Super built-up  Area,21-Jul,3 BHK,Oznuean,1450 - 1950,3,0,88.2,Shabad
Built-up  Area,Ready To Move,2 BHK,,900,2,1,90,Shabad
Built-up  Area,Ready To Move,3 BHK,Paurt C,1220,2,2,49,Shabad
